Transect_ID,Distance_From_North_km,Coastal_Zone,Geology,Cliff_Elevation_m,Defense_Status,Defense_Type,SMP_Policy,EPR_Erosion_Rate_m_yr,LRR_Regression_Rate_m_yr,R_Squared,Std_Error_m_yr,NSM_Total_Retreat_m,SCE_Envelope_m,Downdrift_Starvation_Index,Projected_Retreat_2050_Baseline_m,Projected_Retreat_2050_Climate_Accelerated_m,Projected_Retreat_2100_Baseline_m,Projected_Retreat_2100_Climate_Accelerated_m,Hazard_Class,Hazard_Color
12,5.59,Bridlington Protected Bay,Till overlain with beach sand / alluvium,6.0,Heavily Defended,"Concrete Seawall, Timber Groynes, Rock Armour",Hold the Line (HTL),0.41,0.43,0.982,0.041,14.8,15.9,0.05,9.8,11.3,30.3,39.4,Low / Defended (<1.0 m/yr),#10b981
13,6.1,Bridlington Protected Bay,Till overlain with beach sand / alluvium,14.0,Heavily Defended,"Concrete Seawall, Timber Groynes, Rock Armour",Hold the Line (HTL),0.36,0.34,0.919,0.07,13.0,13.9,0.05,8.6,9.9,26.6,34.6,Low / Defended (<1.0 m/yr),#10b981
14,6.61,Bridlington Protected Bay,Till overlain with beach sand / alluvium,13.0,Heavily Defended,"Concrete Seawall, Timber Groynes, Rock Armour",Hold the Line (HTL),0.28,0.28,0.917,0.059,10.1,10.6,0.05,6.7,7.7,20.7,26.9,Low / Defended (<1.0 m/yr),#10b981
15,7.12,Bridlington Protected Bay,Till overlain with beach sand / alluvium,16.0,Heavily Defended,"Concrete Seawall, Timber Groynes, Rock Armour",Hold the Line (HTL),0.43,0.42,0.988,0.032,15.5,15.8,0.05,10.3,11.9,31.8,41.4,Low / Defended (<1.0 m/yr),#10b981
16,7.63,Bridlington Protected Bay,Till overlain with beach sand / alluvium,14.0,Heavily Defended,"Concrete Seawall, Timber Groynes, Rock Armour",Hold the Line (HTL),0.47,0.48,0.984,0.043,16.9,18.0,0.05,11.3,13.0,34.8,45.2,Low / Defended (<1.0 m/yr),#10b981
17,8.13,Bridlington Protected Bay,Till overlain with beach sand / alluvium,14.0,Heavily Defended,"Concrete Seawall, Timber Groynes, Rock Armour",Hold the Line (HTL),0.26,0.27,0.985,0.023,9.4,9.8,0.05,6.2,7.2,19.2,25.0,Low / Defended (<1.0 m/yr),#10b981
18,8.64,Bridlington Protected Bay,Till overlain with beach sand / alluvium,4.0,Heavily Defended,"Concrete Seawall, Timber Groynes, Rock Armour",Hold the Line (HTL),0.52,0.51,0.997,0.019,18.7,19.4,0.05,12.5,14.4,38.5,50.0,Low / Defended (<1.0 m/yr),#10b981
19,9.15,Bridlington Protected Bay,Till overlain with beach sand / alluvium,0.0,Heavily Defended,"Concrete Seawall, Timber Groynes, Rock Armour",Hold the Line (HTL),0.49,0.47,0.972,0.057,17.6,18.1,0.05,11.8,13.5,36.3,47.1,Low / Defended (<1.0 m/yr),#10b981
20,9.66,Bridlington Protected Bay,Till overlain with beach sand / alluvium,0.0,Heavily Defended,"Concrete Seawall, Timber Groynes, Rock Armour",Hold the Line (HTL),0.52,0.52,0.984,0.047,18.7,19.7,0.05,12.5,14.4,38.5,50.0,Low / Defended (<1.0 m/yr),#10b981
21,10.17,Bridlington Protected Bay,Till overlain with beach sand / alluvium,0.0,Heavily Defended,"Concrete Seawall, Timber Groynes, Rock Armour",Hold the Line (HTL),0.37,0.3,0.644,0.16,13.3,13.6,0.05,8.9,10.2,27.4,35.6,Low / Defended (<1.0 m/yr),#10b981
22,10.68,Bridlington Protected Bay,Till overlain with beach sand / alluvium,0.0,Heavily Defended,"Concrete Seawall, Timber Groynes, Rock Armour",Hold the Line (HTL),0.5,0.53,0.948,0.088,18.0,18.9,0.05,12.0,13.8,37.0,48.1,Low / Defended (<1.0 m/yr),#10b981
23,11.18,Bridlington Protected Bay,Till overlain with beach sand / alluvium,0.0,Heavily Defended,"Concrete Seawall, Timber Groynes, Rock Armour",Hold the Line (HTL),0.35,0.37,0.935,0.07,12.6,13.0,0.05,8.4,9.7,25.9,33.7,Low / Defended (<1.0 m/yr),#10b981
24,11.69,Bridlington Protected Bay,Till overlain with beach sand / alluvium,0.0,Heavily Defended,"Concrete Seawall, Timber Groynes, Rock Armour",Hold the Line (HTL),0.31,0.31,0.991,0.021,11.2,11.5,0.05,7.4,8.6,22.9,29.8,Low / Defended (<1.0 m/yr),#10b981
25,12.2,Barmston / Skipsea Unprotected Cliffs,Devensian Skipsea Boulder Clay (Soft Glacial Till),0.0,Unprotected Rapid Erosion,None (Unprotected Soft Cliffs),No Active Intervention (NAI),2.28,2.27,1.0,0.033,82.1,88.1,0.15,54.7,62.9,168.7,219.3,High (2.0-3.0 m/yr),#f59e0b
26,12.71,Barmston / Skipsea Unprotected Cliffs,Devensian Skipsea Boulder Clay (Soft Glacial Till),0.0,Unprotected Rapid Erosion,None (Unprotected Soft Cliffs),No Active Intervention (NAI),2.22,2.21,0.999,0.054,79.9,85.8,0.15,53.3,61.3,164.3,213.6,High (2.0-3.0 m/yr),#f59e0b
27,13.22,Barmston / Skipsea Unprotected Cliffs,Devensian Skipsea Boulder Clay (Soft Glacial Till),0.0,Unprotected Rapid Erosion,None (Unprotected Soft Cliffs),No Active Intervention (NAI),2.05,2.05,1.0,0.02,73.8,78.9,0.15,49.2,56.6,151.7,197.2,High (2.0-3.0 m/yr),#f59e0b
28,13.73,Barmston / Skipsea Unprotected Cliffs,Devensian Skipsea Boulder Clay (Soft Glacial Till),0.0,Unprotected Rapid Erosion,None (Unprotected Soft Cliffs),No Active Intervention (NAI),1.95,1.98,0.993,0.115,70.2,72.5,0.15,46.8,53.8,144.3,187.6,Moderate (1.0-2.0 m/yr),#38bdf8
29,14.24,Barmston / Skipsea Unprotected Cliffs,Devensian Skipsea Boulder Clay (Soft Glacial Till),0.0,Unprotected Rapid Erosion,None (Unprotected Soft Cliffs),No Active Intervention (NAI),2.1,2.11,1.0,0.031,75.6,79.5,0.15,50.4,58.0,155.4,202.0,High (2.0-3.0 m/yr),#f59e0b
30,14.74,Barmston / Skipsea Unprotected Cliffs,Devensian Skipsea Boulder Clay (Soft Glacial Till),0.0,Unprotected Rapid Erosion,None (Unprotected Soft Cliffs),No Active Intervention (NAI),2.21,2.25,0.997,0.088,79.6,85.8,0.15,53.0,61.0,163.5,212.6,High (2.0-3.0 m/yr),#f59e0b
31,15.25,Barmston / Skipsea Unprotected Cliffs,Devensian Skipsea Boulder Clay (Soft Glacial Till),0.0,Unprotected Rapid Erosion,None (Unprotected Soft Cliffs),No Active Intervention (NAI),1.88,1.88,1.0,0.003,67.7,69.3,0.15,45.1,51.9,139.1,180.9,Moderate (1.0-2.0 m/yr),#38bdf8
32,15.76,Barmston / Skipsea Unprotected Cliffs,Devensian Skipsea Boulder Clay (Soft Glacial Till),0.0,Unprotected Rapid Erosion,None (Unprotected Soft Cliffs),No Active Intervention (NAI),2.49,2.48,1.0,0.026,89.6,92.7,0.15,59.8,68.7,184.3,239.5,High (2.0-3.0 m/yr),#f59e0b
33,16.27,Barmston / Skipsea Unprotected Cliffs,Devensian Skipsea Boulder Clay (Soft Glacial Till),0.0,Unprotected Rapid Erosion,None (Unprotected Soft Cliffs),No Active Intervention (NAI),2.15,2.18,0.997,0.084,77.4,80.1,0.15,51.6,59.3,159.1,206.8,High (2.0-3.0 m/yr),#f59e0b
34,16.78,Barmston / Skipsea Unprotected Cliffs,Devensian Skipsea Boulder Clay (Soft Glacial Till),0.0,Unprotected Rapid Erosion,None (Unprotected Soft Cliffs),No Active Intervention (NAI),2.26,2.3,0.997,0.084,81.4,86.1,0.15,54.2,62.4,167.2,217.4,High (2.0-3.0 m/yr),#f59e0b
35,17.29,Barmston / Skipsea Unprotected Cliffs,Devensian Skipsea Boulder Clay (Soft Glacial Till),0.0,Unprotected Rapid Erosion,None (Unprotected Soft Cliffs),No Active Intervention (NAI),2.23,2.19,0.995,0.114,80.3,82.1,0.15,53.5,61.5,165.0,214.5,High (2.0-3.0 m/yr),#f59e0b
36,17.79,Barmston / Skipsea Unprotected Cliffs,Devensian Skipsea Boulder Clay (Soft Glacial Till),0.0,Unprotected Rapid Erosion,None (Unprotected Soft Cliffs),No Active Intervention (NAI),2.07,2.07,0.998,0.07,74.5,76.1,0.15,49.7,57.1,153.2,199.1,High (2.0-3.0 m/yr),#f59e0b
37,18.3,Barmston / Skipsea Unprotected Cliffs,Devensian Skipsea Boulder Clay (Soft Glacial Till),0.0,Unprotected Rapid Erosion,None (Unprotected Soft Cliffs),No Active Intervention (NAI),1.93,1.91,0.998,0.053,69.5,73.8,0.15,46.3,53.3,142.8,185.7,Moderate (1.0-2.0 m/yr),#38bdf8
38,18.81,Barmston / Skipsea Unprotected Cliffs,Devensian Skipsea Boulder Clay (Soft Glacial Till),0.0,Unprotected Rapid Erosion,None (Unprotected Soft Cliffs),No Active Intervention (NAI),2.22,2.21,1.0,0.029,79.9,82.2,0.15,53.3,61.3,164.3,213.6,High (2.0-3.0 m/yr),#f59e0b
39,19.32,Barmston / Skipsea Unprotected Cliffs,Devensian Skipsea Boulder Clay (Soft Glacial Till),0.0,Unprotected Rapid Erosion,None (Unprotected Soft Cliffs),No Active Intervention (NAI),2.04,2.06,0.999,0.046,73.4,78.5,0.15,49.0,56.3,151.0,196.2,High (2.0-3.0 m/yr),#f59e0b
40,19.83,Barmston / Skipsea Unprotected Cliffs,Devensian Skipsea Boulder Clay (Soft Glacial Till),0.0,Unprotected Rapid Erosion,None (Unprotected Soft Cliffs),No Active Intervention (NAI),1.98,2.01,0.993,0.12,71.3,73.8,0.15,47.5,54.6,146.5,190.5,Moderate (1.0-2.0 m/yr),#38bdf8
41,20.34,Barmston / Skipsea Unprotected Cliffs,Devensian Skipsea Boulder Clay (Soft Glacial Till),0.0,Unprotected Rapid Erosion,None (Unprotected Soft Cliffs),No Active Intervention (NAI),2.19,2.16,0.997,0.076,78.8,83.8,0.15,52.6,60.4,162.1,210.7,High (2.0-3.0 m/yr),#f59e0b
42,20.84,Barmston / Skipsea Unprotected Cliffs,Devensian Skipsea Boulder Clay (Soft Glacial Till),0.0,Unprotected Rapid Erosion,None (Unprotected Soft Cliffs),No Active Intervention (NAI),1.97,1.99,0.998,0.058,70.9,72.7,0.15,47.3,54.4,145.8,189.5,Moderate (1.0-2.0 m/yr),#38bdf8
43,21.35,Barmston / Skipsea Unprotected Cliffs,Devensian Skipsea Boulder Clay (Soft Glacial Till),0.0,Unprotected Rapid Erosion,None (Unprotected Soft Cliffs),No Active Intervention (NAI),2.19,2.23,0.996,0.105,78.8,83.5,0.15,52.6,60.4,162.1,210.7,High (2.0-3.0 m/yr),#f59e0b
44,21.86,Barmston / Skipsea Unprotected Cliffs,Devensian Skipsea Boulder Clay (Soft Glacial Till),0.0,Unprotected Rapid Erosion,None (Unprotected Soft Cliffs),No Active Intervention (NAI),2.22,2.19,0.998,0.063,79.9,82.6,0.15,53.3,61.3,164.3,213.6,High (2.0-3.0 m/yr),#f59e0b
45,22.37,Hornsea Defended Coastal Town,Skipsea Till with sand and gravel lenses,0.0,Heavily Defended,"Massive Seawall, Timber/Rock Groynes, Beach Nourishment",Hold the Line (HTL),0.58,0.61,0.977,0.066,20.9,22.1,0.2,13.9,16.0,42.9,55.8,Low / Defended (<1.0 m/yr),#10b981
46,22.88,Hornsea Defended Coastal Town,Skipsea Till with sand and gravel lenses,0.0,Heavily Defended,"Massive Seawall, Timber/Rock Groynes, Beach Nourishment",Hold the Line (HTL),0.48,0.49,0.988,0.038,17.3,18.0,0.2,11.5,13.2,35.5,46.2,Low / Defended (<1.0 m/yr),#10b981
47,23.39,Hornsea Defended Coastal Town,Skipsea Till with sand and gravel lenses,9.0,Heavily Defended,"Massive Seawall, Timber/Rock Groynes, Beach Nourishment",Hold the Line (HTL),0.3,0.31,0.978,0.032,10.8,11.6,0.2,7.2,8.3,22.2,28.9,Low / Defended (<1.0 m/yr),#10b981
48,23.89,Hornsea Defended Coastal Town,Skipsea Till with sand and gravel lenses,6.0,Heavily Defended,"Massive Seawall, Timber/Rock Groynes, Beach Nourishment",Hold the Line (HTL),0.47,0.47,0.979,0.049,16.9,17.7,0.2,11.3,13.0,34.8,45.2,Low / Defended (<1.0 m/yr),#10b981
49,24.4,Hornsea Defended Coastal Town,Skipsea Till with sand and gravel lenses,6.0,Heavily Defended,"Massive Seawall, Timber/Rock Groynes, Beach Nourishment",Hold the Line (HTL),0.38,0.36,0.855,0.106,13.7,14.2,0.2,9.1,10.5,28.1,36.6,Low / Defended (<1.0 m/yr),#10b981
50,24.91,Hornsea Defended Coastal Town,Skipsea Till with sand and gravel lenses,0.0,Heavily Defended,"Massive Seawall, Timber/Rock Groynes, Beach Nourishment",Hold the Line (HTL),0.3,0.3,0.999,0.007,10.8,11.1,0.2,7.2,8.3,22.2,28.9,Low / Defended (<1.0 m/yr),#10b981
51,25.42,Hornsea Defended Coastal Town,Skipsea Till with sand and gravel lenses,0.0,Heavily Defended,"Massive Seawall, Timber/Rock Groynes, Beach Nourishment",Hold the Line (HTL),0.39,0.39,0.987,0.032,14.0,15.1,0.2,9.4,10.8,28.9,37.5,Low / Defended (<1.0 m/yr),#10b981
52,25.93,Hornsea Defended Coastal Town,Skipsea Till with sand and gravel lenses,0.0,Heavily Defended,"Massive Seawall, Timber/Rock Groynes, Beach Nourishment",Hold the Line (HTL),0.41,0.43,0.977,0.047,14.8,15.4,0.2,9.8,11.3,30.3,39.4,Low / Defended (<1.0 m/yr),#10b981
53,26.44,Hornsea Defended Coastal Town,Skipsea Till with sand and gravel lenses,0.0,Heavily Defended,"Massive Seawall, Timber/Rock Groynes, Beach Nourishment",Hold the Line (HTL),0.36,0.36,0.983,0.033,13.0,14.0,0.2,8.6,9.9,26.6,34.6,Low / Defended (<1.0 m/yr),#10b981
54,26.95,Cowden North Unprotected,Devensian Skipsea Glacial Till,0.0,Unprotected Rapid Erosion,None (Unprotected),No Active Intervention (NAI),2.03,2.06,0.997,0.082,73.1,75.0,0.25,48.7,56.0,150.2,195.3,High (2.0-3.0 m/yr),#f59e0b
55,27.45,Cowden North Unprotected,Devensian Skipsea Glacial Till,0.0,Unprotected Rapid Erosion,None (Unprotected),No Active Intervention (NAI),2.21,2.23,0.999,0.055,79.6,84.5,0.25,53.0,61.0,163.5,212.6,High (2.0-3.0 m/yr),#f59e0b
56,27.96,Cowden North Unprotected,Devensian Skipsea Glacial Till,0.0,Unprotected Rapid Erosion,None (Unprotected),No Active Intervention (NAI),2.28,2.32,0.997,0.088,82.1,85.2,0.25,54.7,62.9,168.7,219.3,High (2.0-3.0 m/yr),#f59e0b
57,28.47,Cowden North Unprotected,Devensian Skipsea Glacial Till,0.0,Unprotected Rapid Erosion,None (Unprotected),No Active Intervention (NAI),2.27,2.27,1.0,0.028,81.7,87.2,0.25,54.5,62.7,168.0,218.4,High (2.0-3.0 m/yr),#f59e0b
58,28.98,Mappleton Rock Groynes & Revetment,Skipsea Till protected by Norwegian Granite Armour,0.0,Locally Defended (Sediment Trap),2 Massive Rock Groynes & Rock Revetment (1991 Scheme),Hold the Line (HTL),0.86,0.87,0.99,0.06,31.0,33.1,0.1,20.6,23.7,63.6,82.7,Low / Defended (<1.0 m/yr),#10b981
59,29.49,Mappleton Rock Groynes & Revetment,Skipsea Till protected by Norwegian Granite Armour,0.0,Locally Defended (Sediment Trap),2 Massive Rock Groynes & Rock Revetment (1991 Scheme),Hold the Line (HTL),0.28,0.26,0.914,0.056,10.1,10.7,0.1,6.7,7.7,20.7,26.9,Low / Defended (<1.0 m/yr),#10b981
60,30.0,Mappleton Rock Groynes & Revetment,Skipsea Till protected by Norwegian Granite Armour,0.0,Locally Defended (Sediment Trap),2 Massive Rock Groynes & Rock Revetment (1991 Scheme),Hold the Line (HTL),0.29,0.28,0.984,0.025,10.4,10.9,0.1,7.0,8.0,21.5,27.9,Low / Defended (<1.0 m/yr),#10b981
61,30.5,South Mappleton / Cowden / Aldbrough Starvation Hotspot,Devensian Skipsea & Withernsea Glacial Tills,0.0,Extreme Downdrift Starvation Hotspot,None (Starved Downdrift Coastline),No Active Intervention (NAI),3.3,3.31,0.999,0.063,118.8,122.1,0.8,79.2,91.1,244.2,317.5,Extreme (>3.0 m/yr),#f43f5e
62,31.01,South Mappleton / Cowden / Aldbrough Starvation Hotspot,Devensian Skipsea & Withernsea Glacial Tills,10.0,Extreme Downdrift Starvation Hotspot,None (Starved Downdrift Coastline),No Active Intervention (NAI),3.52,3.51,0.999,0.062,126.7,130.9,0.84,84.5,97.2,260.5,338.6,Extreme (>3.0 m/yr),#f43f5e
63,31.52,South Mappleton / Cowden / Aldbrough Starvation Hotspot,Devensian Skipsea & Withernsea Glacial Tills,13.0,Extreme Downdrift Starvation Hotspot,None (Starved Downdrift Coastline),No Active Intervention (NAI),3.43,3.43,1.0,0.008,123.5,130.0,0.88,82.3,94.7,253.8,330.0,Extreme (>3.0 m/yr),#f43f5e
64,32.03,South Mappleton / Cowden / Aldbrough Starvation Hotspot,Devensian Skipsea & Withernsea Glacial Tills,13.0,Extreme Downdrift Starvation Hotspot,None (Starved Downdrift Coastline),No Active Intervention (NAI),3.57,3.57,0.999,0.059,128.5,138.6,0.92,85.7,98.5,264.2,343.4,Extreme (>3.0 m/yr),#f43f5e
65,32.54,South Mappleton / Cowden / Aldbrough Starvation Hotspot,Devensian Skipsea & Withernsea Glacial Tills,18.0,Extreme Downdrift Starvation Hotspot,None (Starved Downdrift Coastline),No Active Intervention (NAI),3.48,3.47,1.0,0.036,125.3,131.1,0.94,83.5,96.0,257.5,334.8,Extreme (>3.0 m/yr),#f43f5e
66,33.05,South Mappleton / Cowden / Aldbrough Starvation Hotspot,Devensian Skipsea & Withernsea Glacial Tills,15.0,Extreme Downdrift Starvation Hotspot,None (Starved Downdrift Coastline),No Active Intervention (NAI),3.95,3.99,0.999,0.096,142.2,146.5,0.96,94.8,109.0,292.3,380.0,Extreme (>3.0 m/yr),#f43f5e
67,33.55,South Mappleton / Cowden / Aldbrough Starvation Hotspot,Devensian Skipsea & Withernsea Glacial Tills,16.0,Extreme Downdrift Starvation Hotspot,None (Starved Downdrift Coastline),No Active Intervention (NAI),3.78,3.82,0.999,0.098,136.1,144.2,0.96,90.7,104.3,279.7,363.6,Extreme (>3.0 m/yr),#f43f5e
68,34.06,South Mappleton / Cowden / Aldbrough Starvation Hotspot,Devensian Skipsea & Withernsea Glacial Tills,17.0,Extreme Downdrift Starvation Hotspot,None (Starved Downdrift Coastline),No Active Intervention (NAI),3.88,3.91,0.999,0.077,139.7,147.6,0.96,93.1,107.1,287.1,373.3,Extreme (>3.0 m/yr),#f43f5e
69,34.57,South Mappleton / Cowden / Aldbrough Starvation Hotspot,Devensian Skipsea & Withernsea Glacial Tills,12.0,Extreme Downdrift Starvation Hotspot,None (Starved Downdrift Coastline),No Active Intervention (NAI),3.54,3.57,0.999,0.071,127.4,130.1,0.94,85.0,97.7,262.0,340.5,Extreme (>3.0 m/yr),#f43f5e
70,35.08,South Mappleton / Cowden / Aldbrough Starvation Hotspot,Devensian Skipsea & Withernsea Glacial Tills,11.0,Extreme Downdrift Starvation Hotspot,None (Starved Downdrift Coastline),No Active Intervention (NAI),3.54,3.58,0.999,0.096,127.4,130.7,0.91,85.0,97.7,262.0,340.5,Extreme (>3.0 m/yr),#f43f5e
71,35.59,South Mappleton / Cowden / Aldbrough Starvation Hotspot,Devensian Skipsea & Withernsea Glacial Tills,17.0,Extreme Downdrift Starvation Hotspot,None (Starved Downdrift Coastline),No Active Intervention (NAI),3.04,3.04,1.0,0.04,109.4,114.2,0.87,73.0,83.9,225.0,292.4,Extreme (>3.0 m/yr),#f43f5e
72,36.1,South Mappleton / Cowden / Aldbrough Starvation Hotspot,Devensian Skipsea & Withernsea Glacial Tills,14.0,Extreme Downdrift Starvation Hotspot,None (Starved Downdrift Coastline),No Active Intervention (NAI),3.16,3.17,0.999,0.075,113.8,116.4,0.83,75.8,87.2,233.8,304.0,Extreme (>3.0 m/yr),#f43f5e
73,36.61,South Mappleton / Cowden / Aldbrough Starvation Hotspot,Devensian Skipsea & Withernsea Glacial Tills,12.0,Extreme Downdrift Starvation Hotspot,None (Starved Downdrift Coastline),No Active Intervention (NAI),3.37,3.41,0.998,0.094,121.3,128.5,0.79,80.9,93.0,249.4,324.2,Extreme (>3.0 m/yr),#f43f5e
74,37.11,South Mappleton / Cowden / Aldbrough Starvation Hotspot,Devensian Skipsea & Withernsea Glacial Tills,14.0,Extreme Downdrift Starvation Hotspot,None (Starved Downdrift Coastline),No Active Intervention (NAI),3.0,3.0,1.0,0.01,108.0,114.0,0.75,72.0,82.8,222.0,288.6,Extreme (>3.0 m/yr),#f43f5e
75,37.62,South Mappleton / Cowden / Aldbrough Starvation Hotspot,Devensian Skipsea & Withernsea Glacial Tills,19.0,Extreme Downdrift Starvation Hotspot,None (Starved Downdrift Coastline),No Active Intervention (NAI),2.86,2.88,0.999,0.074,103.0,107.9,0.71,68.6,78.9,211.6,275.1,High (2.0-3.0 m/yr),#f59e0b
76,38.13,South Mappleton / Cowden / Aldbrough Starvation Hotspot,Devensian Skipsea & Withernsea Glacial Tills,23.0,Extreme Downdrift Starvation Hotspot,None (Starved Downdrift Coastline),No Active Intervention (NAI),2.53,2.52,1.0,0.027,91.1,95.0,0.68,60.7,69.8,187.2,243.4,High (2.0-3.0 m/yr),#f59e0b
77,38.64,South Mappleton / Cowden / Aldbrough Starvation Hotspot,Devensian Skipsea & Withernsea Glacial Tills,23.0,Extreme Downdrift Starvation Hotspot,None (Starved Downdrift Coastline),No Active Intervention (NAI),2.62,2.62,1.0,0.024,94.3,101.0,0.65,62.9,72.3,193.9,252.0,High (2.0-3.0 m/yr),#f59e0b
78,39.15,South Mappleton / Cowden / Aldbrough Starvation Hotspot,Devensian Skipsea & Withernsea Glacial Tills,17.0,Extreme Downdrift Starvation Hotspot,None (Starved Downdrift Coastline),No Active Intervention (NAI),2.41,2.41,1.0,0.027,86.8,92.2,0.62,57.8,66.5,178.3,231.8,High (2.0-3.0 m/yr),#f59e0b
79,39.66,South Mappleton / Cowden / Aldbrough Starvation Hotspot,Devensian Skipsea & Withernsea Glacial Tills,19.0,Extreme Downdrift Starvation Hotspot,None (Starved Downdrift Coastline),No Active Intervention (NAI),2.53,2.54,1.0,0.038,91.1,94.5,0.6,60.7,69.8,187.2,243.4,High (2.0-3.0 m/yr),#f59e0b
80,40.16,Withernsea Defended Seafront,Withernsea Till (Dense reddish-brown glacial clay),11.0,Heavily Defended,"Recurved Concrete Seawall, Rock Revetment, Offshore Groynes",Hold the Line (HTL),0.61,0.59,0.987,0.047,22.0,23.5,0.3,14.6,16.8,45.1,58.7,Low / Defended (<1.0 m/yr),#10b981
81,40.67,Withernsea Defended Seafront,Withernsea Till (Dense reddish-brown glacial clay),12.0,Heavily Defended,"Recurved Concrete Seawall, Rock Revetment, Offshore Groynes",Hold the Line (HTL),0.52,0.54,0.975,0.062,18.7,19.5,0.3,12.5,14.4,38.5,50.0,Low / Defended (<1.0 m/yr),#10b981
82,41.18,Withernsea Defended Seafront,Withernsea Till (Dense reddish-brown glacial clay),10.0,Heavily Defended,"Recurved Concrete Seawall, Rock Revetment, Offshore Groynes",Hold the Line (HTL),0.44,0.41,0.942,0.073,15.8,16.8,0.3,10.6,12.1,32.6,42.3,Low / Defended (<1.0 m/yr),#10b981
83,41.69,Withernsea Defended Seafront,Withernsea Till (Dense reddish-brown glacial clay),9.0,Heavily Defended,"Recurved Concrete Seawall, Rock Revetment, Offshore Groynes",Hold the Line (HTL),0.7,0.71,0.996,0.033,25.2,26.3,0.3,16.8,19.3,51.8,67.3,Low / Defended (<1.0 m/yr),#10b981
